joint_name,q_value,delta_q,ee_x,ee_y,ee_z,delta_ee_x,delta_ee_y,delta_ee_z,roll,pitch,yaw
jnt1,0.6496987673579999,-0.024999999999999967,0.25496180878017005,-0.19370021196926782,-0.09999108034475843,-0.0430187591413142,-0.07651237299846363,-5.620920271731666e-07,-1.5708032196922723,-5.120045637907467e-06,2.4919004993590703
jnt1,0.654698767358,-0.019999999999999962,0.25399012106692853,-0.19497259444464918,-0.09999108969221446,-0.04399044685455572,-0.07778475547384499,-5.714394832045944e-07,-1.5708031973984786,-5.149238635926423e-06,2.486900499359091
jnt1,0.6596987673579999,-0.014999999999999958,0.2530120836138892,-0.19624010259695998,-0.09999109900386172,-0.044968484307595036,-0.07905226362615579,-5.807511304634083e-07,-1.5708031749589995,-5.17831980073602e-06,2.48190049935911
jnt1,0.6646987673579999,-0.010000000000000009,0.2520277208719371,-0.19750270473856282,-0.09999110827946739,-0.04595284704954716,-0.08031486576775863,-5.900267361358402e-07,-1.5708031523743955,-5.2072884046960866e-06,2.4769004993591275
jnt1,0.6696987673579999,-0.0050000000000000044,0.2510370574500898,-0.19876036930446955,-0.09999111751879947,-0.046943510471394445,-0.08157253033366536,-5.992660682130335e-07,-1.5708031296452316,-5.236143723941211e-06,2.471900499359144
jnt1,0.6746987673579999,0.0,0.2500401181148811,-0.2000130648531315,-0.09999112672162719,-0.04794044980660317,-0.08282522588232731,-6.084688959351325e-07,-1.570803106772076,-5.264885037714606e-06,2.466900499359159
jnt1,0.679698767358,0.0050000000000000044,0.24903692778974218,-0.20126076006722554,-0.0999911358877201,-0.04894364013174207,-0.08407292109642135,-6.176349888475929e-07,-1.5708030837555,-5.2935116265917515e-06,2.461900499359172
jnt1,0.684698767358,0.010000000000000009,0.24802751155437938,-0.20250342375443603,-0.09999114501684958,-0.04995305636710487,-0.08531558478363184,-6.267641183277384e-07,-1.5708030605960794,-5.322022775366975e-06,2.456900499359184
jnt1,0.689698767358,0.015000000000000013,0.24701189464414564,-0.20374102484823578,-0.09999115410878703,-0.050968673277338616,-0.08655318587743159,-6.358560557806481e-07,-1.5708030372943929,-5.350417770833005e-06,2.4519004993591946
jnt1,0.694698767358,0.020000000000000018,0.2459901024494112,-0.20497353240866154,-0.09999116316330511,-0.05199046547207306,-0.08778569343785735,-6.449105738604022e-07,-1.5708030138510238,-5.3786959037793736e-06,2.446900499359204
jnt1,0.699698767358,0.025000000000000022,0.2449621605149275,-0.2062009156230888,-0.09999117218017778,-0.05301840740655675,-0.0890130766522846,-6.539274465255929e-07,-1.570802990266557,-5.406856466327881e-06,2.4419004993592113
jnt1,0.704698767358,0.030000000000000027,0.24392809453918926,-0.20742314380700075,-0.0999911811591793,-0.05405247338229499,-0.09023530483619656,-6.629064480401237e-07,-1.5708029665415835,-5.434898755485307e-06,2.4369004993592176
jnt1,0.709698767358,0.03500000000000003,0.24288793037379203,-0.208640186404757,-0.09999119010008548,-0.055092637547692225,-0.09145234743395282,-6.718473542222103e-07,-1.5708029426766945,-5.4628220695907e-06,2.431900499359223
jnt1,0.714698767358,0.040000000000000036,0.24184169402278616,-0.20985201299035547,-0.09999119900267261,-0.056138873898698094,-0.09266417401955128,-6.807499413619134e-07,-1.5708029186724892,-5.490625710757868e-06,2.4269004993592262
jnt1,0.719698767358,0.04500000000000004,0.24078941164202525,-0.21105859326819498,-0.09999120786671811,-0.057191156279459004,-0.0938707542973908,-6.896139868595164e-07,-1.5708028945295656,-5.518308983765152e-06,2.421900499359228
jnt1,0.724698767358,0.050000000000000044,0.2397311095385146,-0.2122598970738312,-0.09999121669200026,-0.05824945838296966,-0.095072058103027,-6.984392690034813e-07,-1.5708028702485286,-5.5458711967215635e-06,2.416900499359229
jnt1,0.729698767358,0.05499999999999999,0.23866681416975144,-0.21345589437473164,-0.09999122547829889,-0.05931375375173281,-0.09626805540392745,-7.072255676365824e-07,-1.5708028458299839,-5.573311660622693e-06,2.411900499359228
jnt1,0.7346987673579999,0.06,0.23759655214306438,-0.21464655527102594,-0.09999123422539374,-0.06038401577841987,-0.09745871630022175,-7.159726624905716e-07,-1.5708028212745433,-5.600629689350711e-06,2.406900499359226
jnt1,0.739698767358,0.065,0.23652035021494885,-0.2158318499962542,-0.09999124293306669,-0.0614602177065354,-0.09864401102545002,-7.2468033543438e-07,-1.570802796582819,-5.627824599452325e-06,2.401900499359222
jnt1,0.7446987673579999,0.07,0.23543823529039679,-0.21701174891810954,-0.09999125160109992,-0.06254233263108747,-0.09982390994730535,-7.33348368670006e-07,-1.5708027717554305,-5.654895711915131e-06,2.3969004993592167
