t,q_jnt,q_act_equiv,ee_solved_xyz,residual,joint_limit_margin,actuator_limit_margin_proxy
0.64,"[1.6747204836759457, 1.450124031471709, 1.2853391280561701, -0.33959709643075686]","[3.140297175465865, 9.667493543144728, 4.284463760187234, -1.1319903214358562]","[-0.034356434872704816, -0.3294099661319714, -0.14319729803708234]",0.00011268429289411594,0.12077596852829098,10.332506456855272
0.65,"[1.6951803332169972, 1.4425667050321413, 1.2965512676967035, -0.3474873176865031]","[3.178661791143816, 9.617111366880943, 4.321837558989012, -1.1582910589550104]","[-0.040708506284353324, -0.32559900574063233, -0.1419296887403371]",0.00012044493643713943,0.1283332949678586,10.382888633119057
0.66,"[1.7176845779371432, 1.4346594212880648, 1.308119549326645, -0.355695426705096]","[3.2208598873751044, 9.564396141920433, 4.360398497755484, -1.18565142235032]","[-0.04756411007198698, -0.3214855813185697, -0.14056031029689675]",0.00012734435594164675,0.13624057871193518,10.435603858079567
0.67,"[1.7422039040320576, 1.4264793949435404, 1.3198769622226778, -0.36411307686637756]","[3.266836497341192, 9.509862632956937, 4.399589874075593, -1.2137102562212585]","[-0.05488937953809453, -0.31709010158039147, -0.1390959310690443]",0.00013338970618797754,0.1444206050564596,10.490137367043063
0.68,"[1.7686809144292208, 1.4181018939690475, 1.3316541846188583, -0.37262840715340445]","[3.3164839948044644, 9.454012626460317, 4.438847282062861, -1.2420946905113481]","[-0.06264528232459897, -0.3124360937378539, -0.13754438681831177]",0.0001386034607296453,0.15279810603095245,10.545987373539683
0.6900000000000001,"[1.7970269843108972, 1.4095983826531309, 1.3432840080111794, -0.3811289786754167]","[3.3696361978452978, 9.397322551020872, 4.477613360037265, -1.2704299289180556]","[-0.07078819790058319, -0.30754984730998663, -0.13591446113743386]",0.00014301046530083413,0.1613016173468691,10.602677448979128
0.7000000000000001,"[1.82711953832596, 1.4010352973827145, 1.3546054936513645, -0.3895046086325856]","[3.426063263315132, 9.340235315884764, 4.515351645504548, -1.298348695441952]","[-0.07927049226279034, -0.3024600579926242, -0.1342157656367521]",0.00014662626046158645,0.16986470261728548,10.659764684115236
0.71,"[1.8588001660960154, 1.3924734621053712, 1.365467818559083, -0.39765004410267796]","[3.4854681531896032, 9.283156414035808, 4.551559395196944, -1.3255001470089265]","[-0.08804108924293222, -0.29719747270026164, -0.13245862013410303]",0.00014944841682662706,0.1784265378946288,10.716843585964192
0.72,"[1.8918740048127596, 1.3839680932617027, 1.375733768767765, -0.40546742590017126]","[3.5474854768662283, 9.226453955078018, 4.585779229225884, -1.3515580863339043]","[-0.09704603831893513, -0.29179453714658643, -0.13065393322371904]",0.0001514525266406449,0.1869319067382973,10.773546044921982
0.73,"[1.9261107749917081, 1.3755692837804157, 1.3852828379272708, -0.412868490898871]","[3.6116834333240355, 9.170461891869438, 4.61760945975757, -1.3762283029962368]","[-0.10622907948041316, -0.28628504710922226, -0.12881308325279628]",0.0001525935733410836,0.18561716207272916,10.829538108130562
0.74,"[1.9612477456788528, 1.367322809285793, 1.3940138701154925, -0.41977647898043585]","[3.677569371233551, 9.11548539523862, 4.646712900384975, -1.3992549299347863]","[-0.11553220638035615, -0.28070380430860953, -0.12694779992920935]",0.00015281266155906255,0.17688612988450747,10.88451460476138
