residual_gain,residual_filter_tau,final_fade_duration,max_delta_force_per_step,mean_delta_ee_rms,mean_delta_final_ee,mean_delta_max_ee,mean_delta_rms_ee_error_velocity,mean_delta_rms_highfreq,mean_delta_p2p_error_norm,mean_delta_saturation_frac,mean_delta_limit_frac,mean_delta_reward,improvement_ratio,ncon_max,selection_score
0.75,0.08,0.8,0.3,-0.0008272158780814056,-0.00013106773005161382,-0.0010116938725659777,-0.0010171470390050396,-1.9021053542322512e-05,-0.0010017360543304512,-0.002602946507118727,-0.002703919974461967,26.52205087445909,0.6333333333333333,0,-0.0008272158780814056
0.75,0.12,0.0,none,-0.0007422749628439145,0.0012544955022471829,-0.0004538519263810995,-0.0016134716743915923,3.47881847224641e-05,-0.0004480933493016707,-0.002814832590832076,-0.0018516535589620342,18.095320270377368,0.7,0,0.0005296146317645004
0.75,0.12,0.0,0.2,-0.0003023389491727701,0.0021242349016674603,0.0001773081965887256,0.004796640120982831,9.512027774767779e-05,0.00018339076520623292,0.010786107440973523,-0.002030224440328585,-2.4171577507009108,0.7,0,0.0029847449885071283
0.75,0.12,0.0,0.3,-0.0007819703499054114,0.0009519397161592657,-0.0007069231025491978,-4.970994097812098e-05,-1.7141681015053497e-05,-0.0007036111506355731,-0.000865402624241161,-0.0018992696994186626,22.959103029295026,0.7,0,0.00016996936625385435
0.75,0.12,0.3,none,-0.0007496224700714852,0.0007739282770883815,-0.0006085432069279935,-0.0016251362421503158,3.348029637644931e-05,-0.0006027846298485647,-0.002814832590832076,-0.0018516535589620342,18.220419296913313,0.7,0,4.104595520512096e-05
0.75,0.12,0.3,0.2,-0.0003050690846151805,0.0017456125313136627,7.930767888714765e-05,0.00477698827426627,9.433573949270401e-05,8.53902475046552e-05,0.010786107440973523,-0.002030224440328585,-2.3456091304620106,0.7,0,0.0025834001100431174
0.75,0.12,0.3,0.3,-0.0007872828284561646,0.0006965192614737726,-0.0008753514744004792,-6.448081147664893e-05,-1.806729312629395e-05,-0.0008720395224868545,-0.000865402624241161,-0.0018992696994186626,23.062913719265875,0.7,0,-9.076356698239202e-05
0.75,0.12,0.5,none,-0.0007514946224053413,0.0007000652146487662,-0.0006905929345269567,-0.0016265967272860486,3.339486146761714e-05,-0.0006848343574475279,-0.0028814992574987394,-0.0018516535589620342,18.24952485776739,0.7,0,-3.473197702276643e-05
0.75,0.12,0.5,0.2,-0.000297929364170419,0.0016284700691859228,1.4922807870556761e-05,0.00471976603451462,9.410173318424922e-05,2.1005376488064316e-05,0.010775112312233092,-0.0023337735008713816,0.10782526625941197,0.7,0,0.0024593038781285503
0.75,0.12,0.5,0.3,-0.0007872392734048406,0.00048058442438520395,-0.0009552409579374863,-7.501626926862034e-05,-1.882756934948789e-05,-0.0009519290060238615,-0.0009320692909078277,-0.0018992696994186626,23.088321811903732,0.7,0,-0.0003066548490196366
