step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
42,0.4300000000000002,zero,0.240335123991552,-0.20579892560506882,-0.1019329752016896,0.24212164760945235,-0.2026697977481366,-0.1012571055212291,0.0036660479548569513,0.004961672377782395,-1.570803106772076,-1.5708030759622926,-5.264885037714606e-06,-0.012503038012950052,0.00020601157545642806,0,0,0,0,0.22962032948907146,-6.939970920858001,-1.400305922220403,0.08286724493984511,0.0,0.0,0.0,0.0,0.0
43,0.4400000000000002,zero,0.239715420839936,-0.20617074749603842,-0.1020569158320128,0.24153731556951571,-0.2029710736779046,-0.10133092034470081,0.0037529031956231996,0.005182370258715489,-1.570803106772076,-1.570803071553184,-5.264885037714606e-06,-0.01312620401602893,0.00019412369062545657,0,0,0,0,0.2556835361712285,-6.925595599125286,-1.383912425777304,0.07710498468099533,0.0,0.0,0.0,0.0,0.0
44,0.45000000000000023,zero,0.2390731648,-0.20655610112000003,-0.10218536704,0.24094628093752674,-0.20330734382567417,-0.10140231479835154,0.0038309475114192415,0.00521598684084578,-1.570803106772076,-1.5708030663807269,-5.264885037714606e-06,-0.013693329238411156,0.0001814444129912122,0,0,0,0,0.2643060689042617,-6.934445690131885,-1.3938347132522937,0.08295975721253636,0.0,0.0,0.0,0.0,0.0
45,0.46000000000000024,zero,0.23840823862886398,-0.20695505682268162,-0.10231835227422721,0.24036808225675882,-0.20369213812074066,-0.10147667095639537,0.0038982115055577952,0.005671641392316999,-1.570803106772076,-1.5708030606891499,-5.264885037714606e-06,-0.014034725047519458,0.00017282830163154944,0,0,0,0,0.25678077997713405,-6.889667917720057,-1.380807718324164,0.08582003765780905,0.0,0.0,0.0,0.0,0.0
46,0.47000000000000025,zero,0.23772053982924798,-0.20736767610245121,-0.10245589203415041,0.23979527092118566,-0.20412392985579972,-0.10154863335306194,0.003955947058661044,0.0051139123373424595,-1.570803106772076,-1.5708030542355065,-5.264885037714606e-06,-0.014215700325832303,0.00018506613370094838,0,0,0,0,0.27685036248416584,-6.866631454362407,-1.3590760676915352,0.07762145074958182,0.0,0.0,0.0,0.0,0.0
47,0.48000000000000026,zero,0.23700998046515198,-0.20779401172090883,-0.1025980039069696,0.2392186840197158,-0.20458820441073988,-0.10160810765401712,0.004016897620488341,0.005900573590924465,-1.570803106772076,-1.5708030469807208,-5.264885037714606e-06,-0.014334093768618494,0.00022129771749973678,0,0,0,0,0.2521486984248194,-6.876922416361442,-1.3631133861049767,0.07918864075487579,0.0,0.0,0.0,0.0,0.0
48,0.49000000000000027,zero,0.23627648697753598,-0.20823410781347843,-0.10274470260449281,0.23863902274916443,-0.20508744198301923,-0.10165923090276971,0.004081829238962007,0.0058015540068846365,-1.570803106772076,-1.5708030391280103,-5.264885037714606e-06,-0.014337570249808085,0.0002689478038543017,0,0,0,0,0.2888173165030694,-6.85636880305883,-1.3485166933735284,0.07436399743564379,0.0,0.0,0.0,0.0,0.0
49,0.5000000000000002,zero,0.23551999999999998,-0.208688,-0.102896,0.23804266324461903,-0.20561935351599145,-0.10170879634774069,0.004146067245174385,0.005844354522518556,-1.570803106772076,-1.5708030305843372,-5.264885037714606e-06,-0.014300122930860137,0.00031241880562707093,0,0,0,0,0.2855795586460875,-6.840606716547312,-1.3192667584820452,0.06123939617746503,0.0,0.0,0.0,0.0,0.0
50,0.5100000000000002,zero,0.23474047417446398,-0.20915571549532164,-0.1030519051651072,0.23742509471187476,-0.2061831796016195,-0.10175807427112396,0.004209175150960197,0.005570481750682841,-1.570803106772076,-1.570803021364923,-5.264885037714606e-06,-0.014233249028564599,0.00034969014165567547,0,0,0,0,0.2858701336308172,-6.842024375722617,-1.3117410379053858,0.05615873912784276,0.0,0.0,0.0,0.0,0.0
51,0.5200000000000002,zero,0.23393787796684798,-0.20963727321989123,-0.10321242440663041,0.23678479096273086,-0.20677697234390907,-0.10181132175047794,0.004271922677243661,0.005909346733456711,-1.570803106772076,-1.5708030115921805,-5.264885037714606e-06,-0.01413195685241031,0.0003803795573127509,0,0,0,0,0.2673652987633305,-6.817680300839518,-1.281753222432685,0.04213658025580777,0.0,0.0,0.0,0.0,0.0
