t,pos_err_norm,sv1,sv2,sv3,lambda,xdot_cmd_x,xdot_cmd_y,xdot_cmd_z,qdot_cmd_1,qdot_cmd_2,qdot_cmd_3,qdot_cmd_4,tau_1,tau_2,tau_3,tau_4,joint_margin_min,act_margin_min
0.754,0.3681943061127321,0.5684390389299202,0.26835593760202653,0.19091383956197017,0.08,-1.9797152540188943,0.21001816674531637,0.10407885183673996,3.336098338673006,-0.4008381095821287,3.5058594857968353,-2.402874585901752,10.0,1.6101215309403312,10.0,-5.4848411389151845,0.05043432192532915,0.1677810730844298
0.756,0.36971364060535616,0.5680954574494769,0.2685275068418549,0.1910071738714966,0.08,-1.985463803577761,0.21289419895080297,0.10334845200690063,3.3337356409164465,-0.4019773382721868,3.519398910474,-2.4142671718824382,10.0,1.7167742248129478,10.0,-7.456126439213769,0.050522690260914604,0.16807563420304827
0.758,0.3707852339479057,0.5677572718537848,0.2687783902030573,0.19111673598087103,0.08,-1.9907231858967116,0.2163808901710273,0.10250922005553863,3.3334895149099286,-0.40343399481892145,3.531213530849631,-2.4252751603131397,10.0,1.4499788798175857,10.0,-6.716382789263152,0.050812473184051576,0.16904157728017122
0.76,0.3720574500435845,0.5669341222622145,0.26851755732249405,0.19138553339256004,0.08,-1.9941362576897923,0.21932381614672947,0.10129669257438584,3.3409208657549083,-0.39326555440296135,3.532287418168562,-2.4304623705740878,10.0,1.2738617511806387,10.0,-0.271258460340559,0.05024780346890956,0.16715934489636464
0.762,0.37366785275604014,0.5662143411617807,0.2682262200574742,0.19158514859545717,0.08,-1.997703054177971,0.22139817145741703,0.10022688552558831,3.3453301449318977,-0.38470233890101146,3.5355033226019517,-2.4352038597180266,10.0,1.8865394378833846,10.0,-3.3165607037464455,0.04944904384615212,0.16449681282050665
0.764,0.37553949979756424,0.5657787552039344,0.2682160644670881,0.19168616390582974,0.08,-2.0020842561950998,0.22328686719383162,0.09930846183505555,3.3441050496328444,-0.38262921210509987,0.0,-2.442833594517855,10.0,2.2115257374004527,-3.199454436875508,-7.387957842050401,0.050376758470647154,0.16758919490215707
0.766,0.37723423277722273,0.5653255119963961,0.2684033197318254,0.1918647366402358,0.08,-2.0069992708047675,0.22494706830640077,0.09827794626663895,3.3386046040926662,-0.3806980486545182,3.555349083474547,-2.4545181730669228,10.0,0.1622930455900553,10.0,-3.832879708915771,0.05109097389074302,0.169969912969143
0.768,0.3785007290179131,0.5649717725903514,0.26867783974303716,0.19200341006707483,0.08,-2.011370064443329,0.22732774564185043,0.09725607943967901,3.3357048611330984,-0.38092059902161624,3.5651422431454876,-2.464985978028306,10.0,0.4734389825767522,10.0,-5.551357581915356,0.051785107801139985,0.17228369267046606
0.77,0.3795771504495382,0.5642345961033105,0.26853027557036757,0.19225825957225873,0.08,-2.0140566940550264,0.22939483711501202,0.09593184698171514,3.3399751669434212,-0.37181870995225175,3.565815822749006,-2.4699033186598776,10.0,0.5194085544151932,10.0,-0.8910226250986955,0.05172235234425537,0.17207450781418387
0.772,0.380736098498783,0.563545198398588,0.26830919996480795,0.19246569682327805,0.08,-2.0159938791268015,0.23163514937896945,0.09469202980316876,3.3472421224553437,-0.3630468728328502,3.5645238140140156,-2.471956059616702,10.0,1.1458852261124761,10.0,-3.0122206706923498,0.05123005947869852,0.17043353159566177
0.774,0.3819675791397797,0.5627073365051195,0.2678524557377718,0.1926989373626865,0.08,-2.017599565782538,0.23261744696507713,0.0933688570410742,3.3533794483388992,-0.35022640496568996,3.5614440975280193,-2.4721255240399156,10.0,1.458649234077897,10.0,-2.050628716383696,0.05017059322579831,0.166901977419327
0.776,0.38287983187109254,0.5618104552975896,0.2672314217564499,0.1929243646581482,0.08,-2.018942131281392,0.23261555200527384,0.09204691753408918,3.35836426548981,-0.33531265174181346,3.557548333984592,-2.470652536698216,10.0,1.8852133754022127,10.0,-2.458125934713301,0.048657304001474166,0.16185768000491318
0.778,0.383546323604852,0.5608163338438947,0.2664187693539354,0.19315758780216263,0.08,-2.0191247331517044,0.2327514176876897,0.09069596201024943,3.3685019401251304,-0.3174046305408066,0.0,-2.465124088893149,10.0,2.1647336354605153,-6.155837014505967,-2.155826513695402,0.048257945640139965,0.1605264854671331
0.78,0.3846940916333313,0.5595940557073283,0.2654607829420926,0.1935035664088059,0.08,-2.018354684810625,0.23297176195757086,0.08921752679168098,3.3827113772237305,-0.2940170548967734,0.0,-2.4577357340975885,10.0,0.3042649969578721,-1.7496430260279292,2.7457262671195597,0.04782556342491273,0.15908521141637522
0.782,0.3861365771269777,0.5588243646337411,0.26495928015161324,0.19371212327156068,0.08,-2.018918545051285,0.23317502581752486,0.08807196264040539,3.3886079802280658,-0.28086396939366254,0.0,-2.4555837627147867,10.0,0.2503633192999688,-1.8758436147843611,-2.8362417055478906,0.04835799496730031,0.16085998322433426
0.784,0.38748764215119946,0.5580960337463845,0.26466538617090446,0.19394879710338647,0.08,-2.020107133257584,0.23307058856966567,0.086781453605428,3.38948881903591,-0.269387403434647,0.0,-2.4569034469164013,10.0,-0.3449715426889983,2.003462522544618,-1.5434914832968458,0.04918349640672748,0.1636116546890909
0.786,0.38889712815811867,0.5574867585091453,0.2645496190016903,0.1941623803728925,0.08,-2.021031503938249,0.23375766784274948,0.08548580792485849,3.3917300255149905,-0.26084007906983425,0.0,-2.4585641494462123,10.0,-0.464108790276875,3.17953576981835,-2.4623142111788754,0.050112472139131725,0.1667082404637723
0.788,0.39008851969552855,0.5567099284574463,0.2642522556466832,0.19442846260364846,0.08,-2.021648574957268,0.23343313916746905,0.08406627797514589,3.3929371008778224,-0.24809607967263564,3.521852735097276,-2.459007018702807,10.0,-0.8024981418742496,10.0,-0.30234148709443365,0.05014911267545785,0.16683037558485925
